[2026-01-26 14:35:33,630:INFO:Welcome to CNN Classifier]
[2026-01-27 12:47:42,811:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 12:47:42,827:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 12:50:03,785:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 12:50:03,789:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 12:50:03,791:INFO:created directory at: artifacts]
[2026-01-27 12:50:03,792:INFO:created directory at: artifacts/data_ingestion]
[2026-01-27 12:50:03,794:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-27 13:23:14,357:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 13:23:14,360:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 13:23:14,361:INFO:created directory at: artifacts]
[2026-01-27 13:23:14,363:INFO:created directory at: artifacts/data_ingestion]
[2026-01-27 13:23:14,364:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-27 13:26:18,962:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 13:26:18,965:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 13:26:18,967:INFO:created directory at: artifacts]
[2026-01-27 13:26:18,969:INFO:created directory at: artifacts/data_ingestion]
[2026-01-27 13:26:18,971:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-27 14:19:42,919:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-27 14:25:32,922:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 14:25:32,937:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 14:25:32,938:INFO:created directory at: artifacts]
[2026-01-27 14:25:32,940:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-27 14:26:10,597:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-27 14:42:34,330:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 14:42:34,334:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 14:42:34,337:INFO:created directory at: artifacts]
[2026-01-27 14:42:34,339:INFO:created directory at: artifacts\training]
[2026-01-27 14:50:10,056:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 14:50:10,061:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 14:50:10,062:INFO:created directory at: artifacts]
[2026-01-27 14:50:10,064:INFO:created directory at: artifacts\training]
[2026-01-27 14:56:07,659:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 14:56:07,662:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 14:56:07,664:INFO:created directory at: artifacts]
[2026-01-27 14:56:07,667:INFO:created directory at: artifacts\training]
[2026-01-27 14:56:50,928:INFO:yaml file: config\config.yaml loaded successfully]
